battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
3106,1,3.0,1,10,1,24,0.1,164,1,17,996,1662,2489,14,15,17,0,1,0,2
2209,1,0.7,1,12,1,60,0.9,146,5,12,1144,1582,1631,6,9,5,0,0,0,2
567,0,0.6,0,2,0,3,0.1,114,8,2,1106,621,347,7,16,4,1,1,0,0
698,0,2.1,0,4,1,13,0.3,123,4,3,800,1065,375,17,17,11,0,0,0,0
5088,1,2.2,0,5,1,153,0.8,141,5,10,1704,1947,2918,13,9,13,0,1,1,3
797,0,0.7,1,4,1,6,0.2,181,5,7,548,717,732,10,14,11,1,0,1,0
670,0,2.4,0,3,1,15,0.5,122,6,3,991,782,415,12,9,12,0,0,0,0
3090,1,2.0,1,6,1,52,0.4,144,5,8,1719,1327,2837,5,8,10,1,0,0,2
3196,1,0.8,1,7,1,89,0.2,154,3,20,733,1731,2919,6,2,13,1,1,1,3
3199,1,2.0,0,13,1,61,0.8,170,4,16,1639,1248,2202,16,11,19,1,0,1,2
4340,0,2.6,0,7,1,114,0.4,134,7,18,317,732,2589,16,9,4,1,1,1,3
2109,0,1.6,0,4,1,28,0.3,124,3,4,925,552,675,17,2,17,0,0,1,1
665,0,0.9,1,3,0,14,0.3,199,1,6,1545,1118,975,12,3,17,0,0,0,0
1365,0,0.7,1,3,0,13,0.6,191,2,2,507,1595,386,9,2,11,0,1,1,0
4208,0,1.7,1,19,1,134,0.8,190,4,10,1056,902,3658,13,6,16,0,1,0,3
3164,1,1.3,0,15,1,122,0.6,121,4,11,1685,1738,3590,7,4,18,1,1,0,3
1060,0,2.2,0,2,1,15,0.2,166,1,7,1235,1289,597,18,4,13,1,0,0,0
2101,0,1.4,1,1,1,29,0.9,121,3,7,1669,1381,1412,11,9,15,1,1,1,1
1190,1,0.5,0,2,0,7,0.3,189,1,5,292,1687,985,9,4,13,0,0,0,0
4481,0,2.0,1,5,1,151,0.6,155,4,11,17,1155,3169,15,12,14,1,0,1,3
3140,0,1.7,0,12,1,27,0.7,111,7,11,912,876,2362,17,11,10,0,0,0,2
1708,0,0.6,0,1,1,11,0.7,108,8,6,1360,1277,619,7,13,6,1,0,0,1
4662,0,0.9,1,5,1,192,0.2,111,6,18,722,1871,4038,15,5,13,0,1,1,3
2593,0,1.2,1,13,1,40,0.8,196,1,20,1463,521,2979,17,9,10,0,0,1,2
3414,0,3.0,1,7,1,60,0.7,83,6,13,1467,1714,1478,13,9,7,1,0,0,2
2009,1,2.9,0,4,1,9,0.2,135,5,4,494,1001,1442,15,9,6,0,1,0,1
1472,1,2.6,0,2,0,12,0.3,153,4,7,302,1684,508,16,3,16,0,1,1,0
2943,1,2.8,1,5,1,53,1.0,175,4,14,1748,1653,2460,9,13,19,0,0,1,2
5297,1,1.9,1,14,1,62,0.7,146,7,18,455,866,2321,11,0,16,1,1,1,3
1933,1,1.2,1,9,1,59,0.9,155,7,17,765,769,2284,6,9,15,1,1,0,2
1584,1,2.6,0,4,0,12,0.4,124,6,2,736,1716,1201,18,8,10,0,0,0,1
2504,0,1.9,1,5,1,33,0.4,98,7,13,201,1370,1522,18,1,4,1,0,1,2
1617,1,2.7,0,3,1,28,0.3,155,4,4,1065,762,958,10,12,8,1,1,0,1
4072,1,2.9,1,14,1,91,0.5,86,8,11,52,1117,3574,16,0,11,1,1,1,3
3126,1,2.0,0,13,1,163,0.3,129,8,8,13,962,2200,16,11,8,1,0,1,3
3937,1,2.2,0,8,1,166,0.9,187,5,8,928,699,3859,5,16,3,0,1,0,3
3329,0,2.8,0,10,1,241,0.2,183,8,11,961,955,3553,18,14,12,0,0,1,3
1261,1,2.3,1,3,0,11,0.6,139,2,2,1137,1647,760,15,12,11,0,1,0,0
3155,1,2.2,1,8,0,91,0.5,97,7,14,1351,1861,3879,5,9,15,1,0,1,3
1439,0,0.6,0,4,1,4,0.5,148,5,7,938,562,812,8,5,7,1,0,0,0
943,0,2.3,0,1,1,9,0.9,127,8,3,1004,1656,675,8,9,10,1,1,1,0
2272,1,3.0,1,2,1,24,1.0,180,3,3,724,1402,825,8,9,3,0,0,1,1
2153,1,2.9,1,0,1,29,0.1,137,4,5,265,1292,1756,18,15,18,1,1,1,1
5994,0,0.7,0,15,1,250,1.0,132,4,14,113,1116,2812,14,5,16,1,1,1,3
1752,0,2.1,0,0,1,9,0.1,172,5,6,1131,1531,1971,11,12,10,0,0,1,1
2644,0,2.0,0,10,1,181,0.5,133,4,9,1063,646,3827,8,10,13,0,1,1,3
2245,1,1.3,0,2,0,26,0.2,161,1,3,663,991,1371,9,16,18,0,0,0,1
633,0,0.5,1,2,1,2,0.9,196,2,7,1875,522,260,5,10,16,1,0,0,0
1951,0,1.0,0,0,1,14,0.9,159,6,3,889,761,576,9,2,16,0,1,1,1
3308,0,1.0,1,8,1,89,0.6,106,4,9,1129,1695,3161,8,5,3,0,1,1,3
1337,0,2.5,0,0,1,21,0.5,148,5,4,621,1296,856,14,2,19,1,0,1,1
1453,1,1.7,1,1,0,14,0.8,129,7,2,1151,1936,282,11,9,2,0,0,1,0
5554,1,1.2,0,10,1,147,0.8,124,2,12,1102,1296,2371,17,4,5,0,0,1,3
837,1,2.9,0,1,1,11,0.6,121,7,5,1172,1670,604,15,11,15,1,1,0,0
624,1,0.7,0,4,0,3,1.0,165,8,6,833,635,538,18,16,16,0,1,1,0
1996,1,1.5,1,17,1,16,0.9,153,8,15,1480,1670,1208,14,17,2,1,0,0,2
5133,0,2.8,0,9,1,138,0.6,186,8,18,1727,1465,2158,14,8,5,1,1,0,3
3419,0,3.0,1,7,0,25,0.5,140,8,14,423,897,2725,6,17,5,0,1,1,2
770,1,2.5,0,4,1,14,0.6,105,8,3,1889,850,883,10,2,6,1,1,0,0
5909,1,1.5,1,8,1,232,0.4,136,1,17,1422,1532,3327,5,2,3,1,0,0,3
2299,1,0.6,1,0,1,17,0.5,197,8,6,903,544,1555,6,10,10,1,0,0,1
1998,0,1.5,1,0,0,22,0.5,118,5,7,1621,685,1394,8,0,13,0,1,1,1
5611,0,1.3,1,10,1,231,0.8,89,7,8,113,1620,3717,16,5,10,0,0,1,3
1085,1,0.7,0,3,0,14,0.5,173,4,6,359,509,771,6,8,13,1,1,1,0
5638,1,2.1,0,18,1,138,0.7,144,7,9,468,1632,3280,10,16,19,1,0,1,3
5971,1,1.9,0,14,1,39,0.5,139,6,15,992,1335,2693,10,4,17,1,1,1,3
1401,1,1.1,1,3,0,29,0.9,142,7,4,1037,613,1183,15,16,2,1,0,1,1
951,1,1.5,0,4,1,9,0.6,198,7,4,1267,728,586,11,2,15,0,0,1,0
1435,1,0.7,1,2,0,6,0.1,114,6,2,1296,1248,341,11,5,13,0,1,0,0
1881,1,2.1,0,18,0,57,0.4,86,6,11,1873,1053,2756,10,5,4,1,1,1,2
5334,1,2.0,0,19,1,36,0.2,194,8,17,380,1580,3049,11,9,17,1,1,0,3
706,1,1.3,1,2,1,5,0.1,82,1,2,774,1773,303,8,10,16,1,0,1,0
1845,0,1.8,1,3,1,12,0.7,185,1,6,622,960,694,9,17,17,1,0,1,1
4403,1,0.6,0,19,1,230,0.9,150,1,17,1685,1548,2946,10,13,6,0,0,1,3
2595,0,0.5,0,15,1,51,0.3,97,1,20,1512,1577,3538,12,11,9,1,0,1,3
3436,1,2.5,0,10,1,27,0.3,128,6,8,1468,1249,1230,8,1,10,0,0,0,2
3451,0,1.9,1,14,1,41,0.1,192,4,19,757,1039,2547,15,8,12,1,0,1,2
956,1,2.3,0,1,0,14,0.6,146,6,6,1775,1108,475,16,6,2,1,1,0,0
817,1,2.4,1,1,0,11,0.7,116,6,4,295,548,725,13,12,7,0,0,1,0
2442,0,2.5,1,4,0,30,0.3,116,4,3,1513,1498,1721,17,14,2,0,1,0,1
628,0,1.2,1,3,0,6,0.9,113,3,7,1174,886,904,18,11,11,0,1,0,0
2306,1,1.3,0,1,0,25,0.8,148,4,4,656,1279,590,12,4,15,0,1,0,1
1280,0,1.9,1,1,1,9,0.9,133,1,6,1124,1064,492,18,10,15,1,1,0,0
2504,0,2.5,1,13,0,84,0.2,175,5,14,1941,1430,3446,10,13,5,1,1,0,3
619,0,1.9,1,1,1,8,0.7,105,4,7,964,1387,759,9,12,19,1,1,1,0
2706,1,2.3,1,6,1,48,0.9,191,5,13,1105,1343,2312,16,15,10,0,0,1,2
1169,1,2.8,1,0,0,10,0.8,80,6,7,795,1298,744,13,11,11,0,1,1,0
5218,1,1.3,0,19,0,79,0.9,87,4,14,1934,732,2949,7,5,12,0,1,0,3
2565,1,1.1,1,5,1,152,0.9,83,6,9,1292,616,2613,5,16,3,0,1,0,3
973,1,0.5,1,1,0,10,0.7,120,1,7,305,1871,817,13,16,11,0,1,0,0
4454,0,2.9,1,13,1,184,0.6,117,1,10,1780,587,3086,17,12,6,0,0,0,3
5111,0,1.6,1,13,1,202,0.9,82,4,19,1339,810,3819,17,0,2,0,0,1,3
4538,1,2.2,1,6,0,234,0.8,195,6,19,1259,755,3106,15,17,17,1,0,0,3
1315,0,2.3,1,0,0,15,0.9,176,7,6,156,1382,911,5,5,2,0,0,0,0
2111,1,1.3,1,6,1,123,0.3,118,1,17,1333,1345,2279,14,2,18,1,0,0,3
3656,0,2.7,1,11,1,148,1.0,118,1,14,421,723,3307,12,17,6,0,0,1,3
2583,0,1.1,1,19,1,43,0.6,168,8,18,1262,748,1300,12,0,5,1,0,1,2
3219,0,2.1,1,6,1,25,0.1,143,3,18,1704,1073,3019,15,3,6,1,1,1,2
1239,0,0.8,1,4,0,9,0.2,108,1,7,209,615,1681,12,16,14,0,1,1,1
907,1,1.1,0,1,0,14,0.7,162,5,5,1083,1898,445,18,16,2,0,0,1,0
4482,0,2.8,1,7,1,163,0.5,167,1,8,1364,1891,3145,10,5,14,1,0,1,3
2344,0,1.1,1,12,1,39,0.7,112,7,11,873,1290,2229,11,7,7,1,0,0,2
1235,0,2.4,1,2,0,11,0.6,92,2,4,1649,1276,794,18,4,5,0,1,0,1
2465,0,1.1,1,1,0,25,0.4,158,6,2,1307,842,1665,15,11,13,0,0,1,1
1890,0,2.0,1,9,1,55,0.5,80,3,20,1784,1894,1212,10,6,11,1,0,0,2
1213,1,2.6,1,2,1,18,0.3,152,6,7,417,1846,1136,6,12,10,1,1,1,1
3157,0,2.5,0,7,1,187,0.5,178,2,19,1840,1340,3472,5,9,17,1,0,0,3
5732,1,2.5,1,17,0,150,0.9,173,6,10,262,861,3992,16,14,14,1,1,1,3
3670,1,2.1,0,17,1,200,0.7,191,7,17,1406,844,3437,17,4,7,0,0,1,3
800,0,2.2,1,2,0,9,0.7,111,8,2,1305,606,313,9,0,12,0,1,1,0
1792,0,1.0,1,0,0,12,0.8,106,8,4,1117,1642,1197,13,14,7,0,1,1,1
2205,0,1.1,1,0,1,8,0.6,168,1,2,936,1033,968,12,16,9,1,1,0,1
2204,0,2.4,0,3,1,27,0.8,181,5,5,871,1023,716,7,4,15,0,1,1,1
2332,1,2.4,0,12,0,62,0.2,142,6,17,1928,586,1861,12,8,9,1,0,1,2
4098,0,2.1,1,6,1,142,0.4,157,3,11,85,1817,3563,16,7,15,0,0,0,3
602,0,1.5,1,3,0,9,0.2,171,6,2,492,1472,601,11,16,13,0,1,0,0
1085,0,2.4,0,2,0,10,0.6,182,5,6,1795,580,1494,6,9,15,0,1,0,1
1611,0,2.5,0,4,1,26,0.7,116,6,6,269,1359,1763,6,6,15,0,0,0,1
912,1,2.0,0,3,1,7,0.8,197,1,4,1049,843,439,7,0,15,1,0,0,0
1975,1,1.1,0,1,0,29,0.4,94,8,4,486,640,1953,6,14,16,1,1,0,1
2213,0,2.4,1,1,1,24,0.2,96,6,2,1450,1919,1474,12,11,17,1,1,1,1
1367,1,1.3,1,1,0,9,0.3,100,1,7,449,611,953,7,10,4,1,0,1,0
1546,1,2.5,0,8,0,48,0.6,99,2,20,1952,1570,2411,14,5,5,0,0,1,2
4835,1,2.9,1,9,1,35,0.5,180,6,11,308,548,2144,13,16,12,0,1,1,3
1234,0,2.6,0,1,0,8,0.7,80,3,4,1818,969,292,9,2,17,1,1,1,0
1972,0,2.3,0,16,1,29,0.2,92,2,17,1787,893,1969,14,7,8,0,0,0,2
2772,1,2.0,1,13,1,24,0.3,194,4,10,878,1740,1616,8,0,16,1,0,0,2
2038,0,1.1,0,0,0,10,0.6,166,2,5,1936,1915,849,6,15,12,0,0,0,1
2097,1,2.5,1,1,0,17,0.2,153,7,5,750,718,1008,17,12,10,0,1,1,1
2025,0,1.3,1,18,1,111,0.2,121,6,15,1125,1020,3663,11,17,5,1,0,0,3
1976,1,2.2,1,0,1,9,0.2,166,1,5,1256,886,1123,9,4,2,0,1,0,1
930,0,2.0,0,0,1,6,0.7,118,2,5,1889,539,821,17,14,9,1,0,0,0
2240,1,2.2,1,10,1,49,0.6,80,7,17,76,1617,1674,11,9,9,1,0,1,2
1235,0,2.7,0,2,1,9,0.9,178,8,4,1378,1586,1019,18,10,10,0,0,0,0
645,0,1.9,1,3,0,14,0.3,156,8,2,545,1323,643,8,8,9,0,1,0,0
557,0,2.0,0,4,0,10,0.4,101,7,3,1058,1143,489,17,1,9,1,1,0,0
3986,1,0.6,0,14,0,207,0.8,170,5,14,147,1300,3609,13,17,4,0,0,0,3
1555,0,0.6,0,2,0,14,0.3,170,7,5,513,1659,1735,13,7,8,1,0,1,1
1483,0,0.7,0,1,1,3,0.5,155,4,4,524,1411,630,14,9,5,1,0,1,0
2242,0,1.2,1,10,1,47,0.9,171,8,18,1772,851,1973,14,14,17,1,1,1,2
1371,0,2.7,0,2,1,17,0.5,122,2,3,1416,807,1506,14,13,11,0,1,0,1
2644,1,1.3,1,7,1,39,0.8,177,8,11,732,769,1091,13,6,4,1,0,0,2
5766,0,2.2,0,18,0,106,0.6,94,1,8,971,1368,3673,12,9,7,0,0,0,3
2609,0,0.7,0,12,1,32,0.7,84,5,10,983,1553,2746,14,12,19,0,1,1,2
2041,1,2.4,1,14,1,35,0.7,186,2,11,128,541,2695,6,16,5,0,0,0,2
1725,0,1.3,0,9,1,27,0.2,80,8,10,279,1693,2631,8,11,12,0,1,0,2
3038,0,1.8,0,17,1,20,0.3,110,4,8,1872,1587,1354,5,0,16,1,1,1,2
628,1,1.0,1,0,0,3,1.0,109,4,7,389,1720,825,12,12,17,1,1,1,0
3669,1,1.0,1,17,1,104,0.8,144,4,11,1818,940,3312,8,14,2,0,0,1,3
2624,1,1.0,1,10,0,36,1.0,143,4,17,1922,659,1415,12,5,14,0,0,0,2
1559,1,2.6,0,3,1,22,0.4,104,1,2,1569,916,1183,17,7,15,1,0,0,1
2132,1,1.5,1,18,0,242,0.5,84,2,17,1927,896,3203,17,13,18,0,1,1,3
4249,1,1.4,0,7,1,171,0.3,137,4,11,358,1213,2756,15,3,6,0,1,1,3
2246,1,1.4,1,11,0,47,0.2,111,8,13,110,746,3007,9,0,6,0,0,0,2
1115,1,2.7,0,1,0,26,0.2,133,6,3,521,1836,1003,8,13,17,1,0,0,1
1309,1,2.3,1,3,0,9,0.1,91,2,2,1006,1904,294,7,14,19,0,0,0,0
3619,1,2.4,1,18,1,252,0.8,164,5,10,1325,867,3418,18,10,2,1,1,1,3
986,0,0.9,0,0,0,6,0.5,107,1,3,140,1514,827,13,5,14,1,1,1,0
1372,1,1.6,0,2,1,10,0.4,127,8,6,1915,1165,711,14,1,2,0,1,0,0
2489,0,0.6,0,10,1,58,0.1,179,8,15,746,1701,1717,14,3,17,1,1,1,2
1717,1,1.5,0,0,1,29,0.3,151,3,7,247,1029,616,16,17,15,0,1,0,1
2401,0,1.9,1,14,0,34,0.9,110,7,8,470,1783,1968,9,17,18,1,1,0,2
1904,0,1.2,1,1,0,12,0.8,139,8,6,202,722,1253,13,11,10,0,0,0,1
2186,1,2.7,0,2,1,26,0.9,134,6,7,963,1010,1407,14,4,19,0,0,0,1
3336,0,3.0,1,15,1,23,0.7,174,2,15,97,532,1937,13,17,12,0,0,1,2
1366,1,1.6,0,3,0,26,0.5,98,3,6,1394,1085,885,15,15,15,1,1,1,1
2127,0,2.4,1,9,1,46,0.3,111,2,13,1294,1502,1701,5,1,15,1,0,1,2
1209,1,2.9,1,1,0,7,0.1,175,4,7,1581,905,648,11,9,19,1,0,1,0
2421,1,1.6,0,7,1,41,0.9,98,7,11,1411,1709,1940,6,14,18,0,0,0,2
759,1,1.6,1,1,1,9,0.8,173,6,5,788,702,526,15,13,12,0,0,1,0
3335,0,1.0,1,14,1,43,0.9,178,6,14,1503,983,1290,9,12,7,1,1,0,2
5076,0,1.8,1,14,1,164,0.1,89,4,8,150,761,3388,5,17,17,1,0,1,3
4902,1,2.0,1,8,1,62,0.9,90,5,20,1245,1776,2062,9,3,19,1,0,0,3
867,0,2.4,0,1,1,6,0.6,168,3,4,1665,930,818,10,9,2,1,1,1,0
4796,1,1.9,0,17,1,219,0.9,182,1,18,1732,1385,3078,13,1,17,0,1,0,3
5920,0,0.8,1,18,1,174,0.9,117,7,19,931,1189,3569,15,11,9,1,0,0,3
1077,0,2.4,0,0,1,3,0.8,106,8,2,966,695,952,7,11,16,0,0,0,0
725,0,0.9,1,3,1,10,1.0,92,1,7,581,1354,966,16,4,13,1,0,1,0
578,1,2.6,0,1,0,11,0.7,91,3,5,1155,1307,508,11,12,14,0,0,1,0
1283,1,1.8,1,2,1,26,0.2,181,4,2,331,1001,1932,17,17,5,1,0,1,1
2498,0,2.6,0,5,1,18,0.9,111,1,19,915,974,2528,6,7,2,1,1,1,2
1411,1,2.5,0,3,1,10,1.0,199,6,5,873,661,358,16,16,8,0,0,1,0
708,1,3.0,1,1,1,15,0.9,169,5,2,1948,648,728,11,2,2,1,0,0,0
933,0,1.3,0,1,1,11,0.3,119,8,7,1890,1406,632,14,16,18,0,1,0,0
2405,0,0.8,0,4,0,10,0.4,144,3,3,670,1323,1303,12,17,18,1,1,0,1
1180,1,2.8,0,2,0,12,1.0,132,7,5,1445,1403,549,12,15,6,0,1,1,0
1046,0,1.8,0,2,1,24,0.5,142,6,3,228,1200,867,15,3,8,1,0,0,1
1310,0,0.7,0,1,0,13,0.8,168,2,5,1583,808,625,17,10,11,0,1,0,0
2164,0,1.7,0,0,0,10,0.5,126,4,7,350,552,906,7,1,2,0,0,0,1
1307,1,2.0,0,2,0,25,0.3,112,2,6,580,1647,720,10,14,4,1,0,1,1
1787,0,1.0,0,5,1,21,0.7,194,6,16,1822,645,1891,12,3,7,1,1,1,2
5679,0,1.8,1,14,1,114,0.2,112,3,9,939,1702,4087,9,9,8,1,1,0,3
586,0,1.9,1,1,1,10,0.5,126,2,3,206,949,324,9,0,2,1,0,0,0
1327,1,1.7,1,2,0,13,0.4,88,4,3,532,1733,649,9,5,13,1,1,0,1
1384,0,1.0,0,4,0,15,0.7,152,4,2,293,698,347,8,16,8,1,0,0,0
573,1,2.6,0,0,0,8,0.5,125,2,6,885,638,670,5,16,13,0,0,0,0
2138,1,2.7,0,5,1,37,0.6,84,1,8,153,978,1457,7,10,8,1,0,0,2
2705,0,1.9,1,19,1,77,0.5,177,8,14,1762,1776,2284,14,5,14,1,1,1,3
2002,0,1.6,0,14,1,49,0.3,186,6,15,945,899,2111,13,16,18,0,0,1,2
786,1,1.7,0,4,0,12,0.6,115,4,4,1078,610,399,8,14,19,1,0,0,0
807,1,1.4,1,4,1,15,0.9,136,2,4,104,1926,726,7,9,5,0,0,1,0
3385,0,0.7,1,17,1,62,0.6,159,4,17,1915,870,1732,14,11,4,0,0,0,2
1930,0,1.8,0,13,1,42,0.5,163,2,9,1460,1736,2861,12,2,18,1,0,1,2
1918,0,1.5,0,4,1,12,0.4,142,3,5,1206,1934,1033,9,0,3,0,1,1,1
573,1,2.3,0,1,0,2,0.8,199,2,2,1055,726,728,15,6,11,0,0,1,0
2412,0,2.8,1,2,0,12,0.8,106,6,4,1634,1048,560,12,6,15,0,0,0,1
746,0,1.5,1,0,1,2,0.2,145,2,7,376,1652,273,16,5,5,0,1,1,0
5212,1,0.9,0,16,1,82,0.6,90,1,20,528,546,2048,12,8,8,0,0,0,3
1329,1,2.5,1,4,0,8,0.7,183,8,7,1834,1491,569,5,4,11,0,0,1,0
5735,1,0.8,1,15,1,239,0.1,153,6,16,659,664,3095,14,15,2,1,1,0,3
1319,0,1.1,0,1,0,19,0.8,116,4,3,292,1766,1591,6,9,5,0,1,1,1
1769,0,0.6,1,4,1,8,0.3,188,5,3,1528,1900,1109,17,4,8,0,1,0,1
1182,0,3.0,0,0,0,23,0.2,173,2,2,785,1752,1998,18,4,4,1,1,0,1
2366,0,1.8,0,14,1,28,0.3,88,7,8,1726,685,2746,9,15,5,0,0,1,2
548,1,2.2,0,4,1,12,0.7,139,5,5,1766,1842,275,14,16,14,0,0,1,0
3603,0,1.1,1,8,1,41,0.6,109,6,14,1686,1553,2803,9,5,9,1,0,0,3
2485,0,1.4,0,1,0,15,0.1,84,6,2,75,944,1347,5,6,16,1,0,0,1
2649,0,1.4,0,10,1,156,0.7,183,3,9,1213,1414,2264,9,12,16,0,0,0,3
1395,1,1.1,1,3,1,19,0.1,104,7,4,784,1142,1120,8,15,16,0,0,0,1
2142,0,1.2,1,2,0,21,0.9,167,6,6,1527,1043,1521,10,11,18,1,0,0,1
1816,1,0.5,0,15,1,44,0.3,84,4,19,297,1735,1362,18,11,7,0,0,0,2
4390,0,1.4,0,9,1,176,0.1,154,6,17,224,999,3562,14,3,19,1,0,0,3
3392,0,1.5,1,11,1,197,0.5,101,7,10,1559,1737,2387,18,7,8,0,1,0,3
2526,1,2.9,1,12,1,24,0.5,95,5,11,406,1360,1555,7,12,10,0,0,1,2
501,1,1.8,0,2,1,13,0.2,158,5,3,1924,1094,480,11,15,13,1,1,0,0
5750,1,0.9,0,9,1,117,0.2,139,1,8,1508,922,2644,8,2,14,1,1,0,3
2576,1,0.7,0,7,1,22,0.1,170,1,20,1679,785,2109,12,11,5,0,1,1,2
826,1,1.9,1,0,1,5,0.3,108,6,6,673,662,901,12,14,6,1,1,1,0
997,0,1.4,0,3,0,14,0.8,117,8,2,1569,1159,914,7,3,6,0,1,0,0
1817,1,1.8,0,0,1,20,0.4,171,7,3,1723,1527,1598,8,0,3,1,0,1,1
3258,1,2.4,0,13,0,44,0.5,93,1,8,399,1047,2307,11,7,12,0,1,0,2
4171,0,2.0,0,9,1,253,0.4,160,2,9,1562,1120,2710,16,4,14,0,1,0,3
5360,0,0.5,0,16,1,60,0.8,182,1,13,1649,1534,3260,6,11,10,0,0,0,3
1629,1,0.9,1,1,1,28,0.5,120,7,3,993,1409,1654,6,4,12,0,0,0,1
596,0,1.9,1,1,0,8,0.9,198,6,6,809,1268,406,17,17,3,1,1,1,0
4340,0,2.8,1,19,1,81,0.8,113,8,17,229,1839,2818,15,14,2,1,1,0,3
3250,0,2.9,1,11,0,21,0.5,116,5,13,1156,1255,2480,5,7,14,0,0,1,2
3110,0,1.6,0,17,1,195,0.8,103,7,15,512,898,2317,10,9,15,0,1,0,3
1058,1,2.2,1,3,1,5,0.5,171,1,7,1487,617,862,11,4,18,1,1,0,0
5870,0,2.8,1,15,1,188,0.2,116,7,11,1451,1485,3235,16,16,13,1,0,1,3
1520,1,0.7,0,0,0,11,0.9,172,5,4,1603,1395,999,11,13,6,0,1,1,1
1118,0,1.3,1,1,1,13,0.7,99,5,2,406,1603,633,8,6,18,1,0,1,1
1499,0,1.7,0,3,0,10,0.6,92,3,4,1511,777,534,14,11,5,0,1,0,1
1767,1,1.5,1,0,0,29,0.2,108,1,5,1642,1677,765,9,5,12,1,0,1,1
1335,0,1.8,1,4,1,7,0.7,144,1,4,1403,1893,1005,6,14,16,0,0,0,0
1176,0,1.9,1,3,0,20,0.5,101,2,2,506,1917,1592,17,2,9,0,0,1,1
1673,0,0.9,1,5,1,43,0.6,99,1,14,1114,1353,2416,13,12,12,0,1,0,2
2988,1,1.7,1,9,1,38,0.4,101,8,9,668,1953,1840,17,12,10,1,0,0,2
4368,1,2.7,0,14,1,68,0.4,124,4,8,507,1007,3775,8,14,7,1,0,0,3
1199,0,0.7,0,0,0,3,0.9,117,8,7,1388,882,355,9,11,18,0,1,1,0
2001,1,0.7,0,0,1,22,0.9,180,6,6,1586,805,1292,8,7,5,1,1,1,1
2451,1,2.6,1,3,0,15,0.9,114,7,6,1468,1819,1795,15,5,7,1,0,0,1
2580,0,1.0,0,13,1,166,0.2,174,3,12,1549,875,3905,5,8,7,0,0,0,3
4943,1,2.2,0,15,1,80,0.6,158,4,15,615,652,2538,14,14,4,0,0,0,3
1140,0,0.5,0,2,0,22,0.9,130,8,3,900,1530,910,6,10,9,1,1,0,1
785,1,2.0,1,4,0,6,0.9,159,6,2,1704,1892,351,5,1,11,1,1,0,0
4809,1,3.0,0,18,1,58,0.3,94,4,12,645,583,3497,18,4,6,1,0,0,3
697,0,0.8,0,2,1,15,0.8,102,6,2,860,1072,939,10,0,6,0,1,0,0
3381,0,0.8,1,14,0,56,1.0,109,1,12,372,1131,1922,11,11,17,1,1,1,2
2896,1,2.4,1,17,0,34,0.6,189,8,18,158,1775,1216,8,8,7,1,1,0,2
3460,0,1.0,1,7,1,20,0.7,185,7,19,787,1779,1555,9,17,12,1,0,1,2
2237,1,1.7,0,7,1,47,0.4,145,1,12,1875,1690,2815,15,14,3,1,0,1,2
1414,1,2.1,1,2,0,12,0.5,86,3,5,1284,615,895,7,7,8,1,1,1,1
1172,1,0.9,1,0,0,8,0.4,145,4,7,1064,1150,1707,10,8,2,0,1,0,1
5535,0,1.3,0,8,1,37,0.4,168,3,12,1172,1850,3593,11,17,14,0,1,0,3
5648,0,0.9,0,12,1,223,0.2,104,2,17,99,1653,2593,9,0,13,1,1,0,3
5031,0,2.5,0,6,1,109,0.1,196,7,15,1226,1440,3271,5,16,3,1,1,0,3
1122,1,1.3,1,0,0,13,0.8,93,6,4,610,1356,603,17,17,2,0,0,0,1
1297,0,2.5,0,0,1,9,0.3,83,2,4,811,1091,499,13,4,12,1,1,0,0
1126,1,2.9,1,3,0,9,0.3,189,3,6,1220,1360,553,6,1,19,1,1,1,0
2680,0,2.0,0,10,1,50,0.6,98,2,15,1526,1031,1452,9,11,5,1,0,0,2
1488,0,1.7,1,1,1,8,0.7,126,6,4,981,1511,320,9,13,11,0,1,1,0
2973,1,2.6,0,18,0,20,0.9,173,7,14,1417,1464,1409,13,12,14,0,1,0,2
5959,1,1.6,1,11,1,224,0.7,119,6,19,1728,956,2899,12,8,3,1,1,1,3
2619,1,1.2,0,7,1,183,1.0,177,1,16,1374,1762,2330,10,13,19,1,1,1,3
998,0,2.3,1,1,0,2,0.3,112,8,3,1339,1219,318,7,1,19,0,0,1,0
2597,0,1.0,1,12,1,158,0.4,138,3,9,343,509,2647,18,6,2,0,0,0,3
1198,0,1.9,0,0,0,7,0.8,114,5,6,866,1174,867,15,12,17,0,1,0,0
4417,0,2.9,1,6,1,92,0.6,88,7,9,689,1576,2312,13,12,8,1,1,1,3
1639,0,2.6,1,2,0,18,0.3,192,6,4,1426,1363,1251,18,5,2,1,1,1,1
1378,1,1.5,1,4,0,17,0.2,194,4,4,114,904,1045,13,2,9,0,0,1,1
2260,0,2.1,0,4,0,21,0.5,152,4,3,1792,1858,936,18,9,9,0,1,1,1
1662,0,0.7,0,19,1,35,0.2,160,4,12,877,1489,1458,6,17,6,0,1,0,2
5841,0,1.8,1,16,1,72,0.4,170,6,8,1851,1566,3672,5,9,17,0,1,1,3
1821,0,1.9,0,3,1,22,0.3,101,4,3,1453,636,1011,9,11,8,1,0,1,1
